title,description,location,City,features,date,price
"1390 Sft (East Facing),New 2 Bhk Flat for sale in vadavalli.","New apartment for sale in Vadavalli.  Built up area-1390 sqft.  2 BHK Flat- East facing.  Rate-64 Lakhs.(Rate includes Fully Furnished Interior Works,Car parking,Registration Charges,GST Tax,EB and Water Assessment,Property Tax Assessment)*Rate Negotiable...  modern kitchen & Interior work in all bed room.  Tv unit in Hall.  Kohler bathroom fittings.Electric Chimney.  light fittings.  false celling in hall,  Individual ups.  Centralised RO plant,  Genset Backup,  LIFT,  Gym,  community hall,  Individual car parking,  Intercom, 24Hours security  Near by Vadavalli bus stand.  for more information pls contact  Saravana Kumar-84899and12545.  (Rate Negotiable)  Note:  Direct sale from Building owners",Tamil Nadu,Coimbatore,2 Bds - 2 Ba - 1390 ft2,2021-12-20T16:14:32+0000,6401000
"Luxury Villa (2100sq ft  in 5cents) for sale in Mannuthy, Thrissur","A newly built (under construction) luxury modern villa (Approx 2100 sq ft in 5 cents) for sale in Mannuthy, Tens Vidhya Nagar. Architectural and interior design consultancy is done by profesional project management company. Modern Interior designing with Teak wood door/joineries and Jaguar fittings are the highlights of this project. This carefully planned elegant villa is in a no flood area with natural open well water source.   The secured high class lush residential area is within city limits. It is Hardly 60m to main road ( mannuthy-chirakkakode ) bus stop and 1.5 km from Thrissur – Palakad NH 47.  Facing : East  Vastu compliant : Yes  Landmark: Near Krishi Vigyan Kendra Mannuthy. Flooring : Vitrified tiles; Joineries/door: Teakwood ; Sanitary & CP Fittings: Jaguar; Electrical: 3 phase wiring;   Project completion by Apr 2022.   We pride ourselves in the quality of materials used. The feel inside the house will envy your near and dear ones. If you are looking for a luxury modern villa with practically planned interiors within the budget, Please contact (Whatsapp/Call).",Kerala,Thrissur,4 Bds - 4+ Ba - 2100 ft2,2021-12-24T10:51:35+0000,8700000
Argent sell,All documents clear,Maharashtra,Nagpur,1 Bds - 2 Ba - 600 ft2,2021-12-11T05:23:33+0000,1500000
2BHK FLAT NEAR AIRPORT ROAD,"2BHK FLAT  110GAJ 90% LOAN AVAILABLE 10% DOWN PAYMENT READY TO MOVE FULLY FURNISHED FLAT NEAR- SCHOOL, HOTEL MARKET, MALLS, HOSPITAL ETC.",Punjab,Kharar,2 Bds - 2 Ba - 1100 ft2,2022-01-05T17:16:13+0000,2690000
1BHK FLAT NEAR AIRPORT ROAD SECTOR 127 MOHALI,"1BHK FLAT NEAR AIRPORT ROAD READY TO MOVE GAITED SOCIETY 90% LOAN AVAILABLE 10% DOWN PAYMENT FAMILY ALREADY SHIFTED NEAR MARKET, SCHOOL, HOSPITAL AND MALLS",Punjab,Kharar,1 Bds - 1 Ba - 840 ft2,2022-01-05T17:16:13+0000,1780000
2bhk flat on kharar landran Road,1BHK STARTING  15.90LKH 2BHK STARTING  22.90LKH 3BHK STARTING  27.90LKH     24.90LKH  2BHK ON GOOD LOCATION SECTOR 127 MOHALI ON ROAD  Easily you can get rent 12k-14k of 2BHK *(100gaz) 10% only Down payment 90% LOAN   After PMAY,Punjab,Kharar,2 Bds - 2 Ba - 1040 ft2,2022-01-05T17:16:13+0000,2590000
SHOP+ROOM AT VERY REASONABLE PRICE..!,AS BUILDERS INTRODUCING NEWLY CONSTRUCTED SHOP FOR SALE..! BANK FINANCE FACILITY AVAILABLE..!  CONTACT- 7_8_3_7_4 _8_0_0_0_4  1 KM FROM WADALA CHOWNK NAKODAR ROAD..!  PRICE 18  LAC  SHOP HIGHLIGHTS-  DIMENSIONS-10.5×25 1 BEDROOM 1 WASHROOM 1 KITCHEN  CALL FOR MORE INFORMATION- 7_8_3_7_4_ 8_0_0_0_4,Punjab,Jalandhar,1 Bds - 1 Ba - 524 ft2,2022-01-05T17:16:12+0000,1800000
95 SQYARDS HOUSE VILLA AT VIDHANSABHA NAGAR DHABAS ROAD,NEAR VAISHALI NAGAR 3 BHK HOUSE AT VIDHANSABHA NAGAR DHABAS ROAD JDA APPROVED LOANABLE WITH THE FACILITIES AVAILABLE NEAR BY.  CONTACT US FOR FURTHER QUERY:-,Rajasthan,Jaipur,3 Bds - 3 Ba - 1750 ft2,2022-01-08T17:16:08+0000,5800000
Aluva ksrtc bus route  kunnuvazhi 8cent 2250Sqft,Kunnuvazhi Bus stop 100 Perumbavoor 5km 8cent 2250sqft 4bedroom with attached bathroom Good well water Price 85lakh Price negotiable Loan facilities available For more details call me,Kerala,Aluva,4 Bds - 4 Ba - 2250 ft2,2022-01-05T17:16:10+0000,8500000
Book 2Bhk & 3Bhk @ Manjri KHARADI Road (10 mins Drive to EON IT PARK),"Call for visit **One FIFTY plus Luxurious Township**  Lower Stamp duty & Property tax on Township homes Well connected to Kharadi IT park Biggest Carpet area Lower maintenance Better rental and capital appreciation on township homes Multiple professional sports coaching academies Bus stop, police station, hospital,  fire station within township",Maharashtra,Pune,2 Bds - 2 Ba - 1100 ft2,2022-01-05T17:16:11+0000,6800000
2 Room Set Very Prime Location Sector-127 Mohali,2BHK Furnished Flat In 19.70Lacs At Near Kharar Bus Stand Mohali  ∆ Cash Back Offers Available For Today Only...  Kharar to Chandigarh Highway Near Nijjar Road Near Airport Road  # 2.67Lacs Cash subsidy benefit  # 90% Loan Facility # 10% Down Payment       SPECIAL FEATURES  * Fall ceiling with LED lighting  * LED panel with lighting * Green Park * Gated Society * R.O + Chimney * High-speed Internet Access * WALLPAPER  * Safe Zone For Kids * Covered Parking  Contact For More Information,Punjab,Kharar,2 Bds - 2 Ba - 989 ft2,2022-01-05T17:16:09+0000,1970000
Big Size 2BHK Fully Furnished In 23.90Lacs At Kharar Mohali,2BHK Flat For Sale 23.90 Lacs At Near 200ft. Road in Gated Society Mohali  * Ready To Move * Fully Furnished * Gated Society * CCTV Camera Protection  * NO COMPROMISE TO CONSTRUCTION QUALITY *  * Best Quality Used All Construction Material  # Loan 90% Facility # Down Payment 10% # Booking Amount 21000 # 2.67Lacs Cash Subsidy Benefit Pmay  Contact Direct Builder,Punjab,Mohali,2 Bds - 2 Ba - 987 ft2,2022-01-05T17:16:10+0000,2390000
2Bhk Ready To Move Fully Furnished + Store Gated Society,"Spacial Saturday Sunday OFFERS  Book your dream home in Just paying 31000/-   2bhk READY TO MOVE WITH FULLY FURNISHED FLATS SEC-115, NEAR BY CHANDIGARH TO KHARAR ROAD JUST IN 28.90LAC  *CHIMNEY *MODULAR KITCHEN *Cupboard in all rooms with best material *R.O *AC FETING *LED TV *WALL PAPER *BED BOX *SOFA *LED LIGHTS *Free Car Parking *Branded Bath Fittings  2.67lacs subsidy under PARDHAN MANTRI AWASS YOJNA  10% Down Payment AND 90% Loan Facility  *Near by V.R punjab Mall, school, College,  hospital, Gym, busstand etc.Read Less",Punjab,Kharar,2 Bds - 2 Ba - 950 ft2,2022-01-05T17:16:09+0000,2890000
4BHK || 400 Sq. Yard Apartment for Sale in Fragnance,4BHK || 400 Sq. Yard Apartment available for Sale in Fragnance  Possession by end of this Year  Basic Price: - 1.16 Crore  No Brokerage & Zero Percentage Brokerage Charges applicable.  Call for Site Visit,Gujarat,Ahmedabad,4 Bds - 4 Ba - 3600 ft2,2022-01-05T17:16:08+0000,11600000
FLAT FOR SALE,1 BHK with 710,Maharashtra,Thane,1 Bds - 1 Ba - 710 ft2,2022-01-09T17:13:18+0000,2650000
Live life like king size flat,We are developing heritage model tower where you will fell living in heritage property It's balcony elevation design are looking like palace,Uttar Pradesh,Greater Noida,2 Bds - 2 Ba - 950 ft2,2022-01-09T17:13:11+0000,2600000
4 BHK FLAT TATA TRITVAM ICONIC TOWER FULLY WATER FACING,"Situated at Queens Walkway Marine Drive Kochi which is the next  future of Kochi and Kerala.  TRITVAM residences come with backwater views of the Arabian Sea and the serene Mangalavanam Bird Sanctuary.  Designed by award-winning global architect firm Woods Bagot and landscape consultant-Made Wijaya, at TRITVAM you are assured of a truly international residence right in your hometown. You can choose from a range of 3 and 4 BHK apartments sized between 2188 sft to 3186 sft, in this gated community that comes with a stunning infinity pool, a fully-featured clubhouse with a gymnasium, one of the largest landscaped podium in Kerala and various leisure facilities.   Tritvam is the combination of Sky , Land , and Water  - The lungs of Kochi city is called Mangalavanm Birds Sanctuary  and the whole Tritvam Towers has got the inclination views of Live Birds Sanctuary  and Water View  from each towers.  TRITVAM has spreaded over 8.44 acres of land and with 3.4 acres of open space podium which is connected to all Towers with maximum open space ,cross ventilations and live home feel rather than a concrete jungle.  Tritvam houses 572 units over 6 Towers. The Phase I of Tritvam which comprises of the Iconic Tower and Towers 1 to 4 . Phase 2 Tower 5 are completed  have been given to over 420+  happy customers. All amenities are fully operational and the product is ready to move now with limited units available.",Kerala,Kochi,4 Bds - 4 Ba - 2400 ft2,2022-01-09T11:34:49+0000,26000000
2BHK Flat Alok Nagar,Two BHK FLAT,Madhya Pradesh,Indore,2 Bds - 2 Ba - 740 ft2,2021-12-15T16:43:34+0000,1900000
Premium 2 BHK Bungalows Township,2 Bhk Premium Bungalows At Best Location,Maharashtra,Kolhapur,2 Bds - 2 Ba - 1000 ft2,2021-12-17T13:01:08+0000,3800000
3BHK 1.5 STORY KOTHI AVAILABLE FOR SALE,Available in Khanna colony Good location Neat and clean kothi 7-8 Years old Reasonable price Contact us for more information-            ~SIDHWAN PROPERTY ADVISOR~                                     the Reliable Agents-,Punjab,Ludhiana,3 Bds - 2 Ba - 1125 ft2,2022-01-09T17:12:53+0000,4500000
70 Gaj 3-Bhk Semi-Duplex At Govindpura,* 70 Gaj Semi-Duplex At Govindpura * 80% loanable * 2.67 lac gov.subsidy also available * 500 m from kalwar road * 3 bedroom * Modular Kitchen * Wardrobes * Vaastu friendly * Royal Play Paint * Car Parking * All electric fittings done  For more information contact us,Rajasthan,Jaipur,3 Bds - 2 Ba - 1050 ft2,2022-01-09T17:12:51+0000,2821000
Haveli bangloes,Arajant cell karavanu chhe. Pllzzz,Gujarat,Sidhpur,4+ Bds - 4 Ba - 400 ft2,2022-01-09T17:12:17+0000,9500000
"Vellayani 4 cent, 1750 sqft, 3 room attached, Red bricks, teak wood",2.5 km from Vellayani jn NH  1 km from Vellayani temple  250 mtr from main road bus stop  Residancy area  4 cent  1750 sqft  3 room attached bath  Red bricks  Teak wood  2 Hall  Dining room  Open kitchen  Used all branded material  Open kitchen  Pipe connection  2 big car parking space  Tar road side  Lorry site,Kerala,Thiruvananthapuram,3 Bds - 3 Ba - 1750 ft2,2022-01-09T17:11:38+0000,6200000
Self made house,Two and half flour built-up house ready to move.,Uttar Pradesh,Lucknow,4+ Bds - 4+ Ba - 3100 ft2,2022-01-09T17:11:37+0000,8500000
Sale stand-alone flat in very good condition,"This flat condition is very good, buyer can ready to move. From this flat vegetable market and bus stand is walking distance, hardly 3 to 4 minutes.",West Bengal,Kolkata,2 Bds - 2 Ba - 599 ft2,2022-01-09T17:10:31+0000,3500000
"House for sell at Kodungallore, Near Chandhapura Junction",5 mts walk from chandhapura jn Kodungallore.. 13 cent ozhavath kadav road building constructed on 1992,Kerala,Kodungallur,3 Bds - 2 Ba - 900 ft2,2022-01-09T17:10:28+0000,6700000
3BHK Flat for Sale,"This society is located near D-Mart, Ring Road , DDU Nagar, Raipur, 492001.",Chhattisgarh,Raipur,3 Bds - 2 Ba - 1250 ft2,2022-01-09T17:09:22+0000,2500000
Pukkattupady 3.500 Cent. 3 Bhk attached 1550 Sgf. New House.,Near. Bus route 30 Mtr. Only. Pukkattupady Chembarakky route.  From. Pukkattupady jn. 1.50 Kmtr.   65 Lakh,Kerala,Choornikkara,3 Bds - 3 Ba - 1600 ft2,2022-01-09T17:08:42+0000,6500000
urgent sell,beautifull flat all word done,West Bengal,Puruliya,2 Bds - 2 Ba - 800 ft2,2022-01-09T17:08:42+0000,2300000
We deal with all types of property,"All types of property, flats,  1Bhk 2Bhk 3Bhk 90 gajh, 100 gajh, 120gajh Plots and Kothis",Punjab,Kharar,2 Bds - 2 Ba - 900 ft2,2022-01-09T17:07:00+0000,2900000
House sale at Burdwan Bajeprapappur,House sale A ready to move property sale at burdwan 2.5 katha land full boundaries all shops and market are near by.  Only 23 lakhs,West Bengal,Chandannagar M.C.,3 Bds - 1 Ba - 7200 ft2,2022-01-09T17:06:52+0000,2300000
M3M Soulitude sector 89,Most valuable location at new gurgaon and most successful builder all India M3M gurgaon,Haryana,Gurgaon,3 Bds - 3 Ba - 1423 ft2,2022-01-09T17:06:07+0000,9200000
Brand New 3 Bhk flat for sale,Beautiful 3 Bhk flat for sale in in columbia Tower Chandigarh Enclave zirakpur.   Ready to move  Gated society Good quality construction  Wallpaper in every bedroom Wooden almihra and windows Loan facilities available  Curtain roads  Led lights Price are negotiable,Punjab,Zirakpur,,2022-01-09T17:05:28+0000,3690000
Servay park. Santoshpur. On road.,G+3 stored house.full furnished. 6 bed. 3 draying. 3 kitchen. 4 balcony. 8 bathroom. 1 office space. Garage. 1 care taker room.very beautiful house.not a single work from house. Prime location. Front road 50 fit.. Well maintain house. Total land 3 katha 1 chatak.  Price negotiable,West Bengal,Kolkata,4+ Bds - 4+ Ba - 00 ft2,2022-01-09T17:04:49+0000,45000000
2bhk house in 10th road backside to pichireddy kalyanamandapqm,1470sqft 2bhk with car parking facility and with full wood work cupboards 9years old construction near magunta layout back side pichireddy kalyanamandapam nellore,Andhra Pradesh,Nellore,2 Bds - 2 Ba - 1470 ft2,2021-12-29T13:12:32+0000,4799999
1 bhk bhagwati garden low price near by metro hurry up guy's.,Modular kitchen with chimney. Modular switches. Havells switches. Crompton fans. Ready to move. 10 foot road. Registry facility. Loan facility 80 to 90%. Washable paint. Washable wallpaper. 24*7 electricity supply. 24*7 water supply.,Delhi,Delhi,1 Bds - 1 Ba - 350 ft2,2021-12-11T14:51:59+0000,1660000
3 Bhk furnished flat parking,3 Bhk furnished flat parking in prime location.,Uttar Pradesh,Ghaziabad,3 Bds - 3 Ba - 1200 ft2,2021-12-26T04:13:37+0000,4200000
Lake Garden New building sale @ 2.6 Cr,"Land area - 2 Kata 12 chatak ( G + 3 ) Apertment 1st floor - 3 bhk 2 toilet 1250 sft 1 balcony. 2nd floor,3rd floor same Car parking - 5 Ground floor - 300 sft Comersial shop Nearest 10 minutes walking distance Lake Garden Railway station. 5 minutes Auto distance Rabindra Sarabar metro station. 5 minutes walking distance Southcity mall,Lords bacary more. Loan available Brokage charge - 2%",West Bengal,Kolkata,4+ Bds - 4+ Ba - 4000 ft2,2022-01-09T17:04:26+0000,26000000
Flat for sale,2BHK apt for sale,Tamil Nadu,Chennai,2 Bds - 2 Ba - 680 ft2,2022-01-09T17:04:01+0000,4500000
House near yog sr sec school 12 quarter road hisar 50 gaj ka Makan,10*45000 rs. House in hisar City good metiril and severage water supply light  connection call only genuine buyers not time pass my number is /9eight 77 four 00 seven double 1 / call kro 12 quarter road 18 number gali me aa kr abhi naya bana hua h only 6-8 months old roof lanter and progressive area h valuable bhi,Haryana,Hisar,2 Bds - 1 Ba - 500 ft2,2022-01-09T17:03:58+0000,1045000
806 sqft flat beside doltala bus stop,806 sqft flat beside doltala bus stop,West Bengal,Kolkata,2 Bds - 2 Ba - 806 ft2,2021-12-14T06:46:32+0000,1692000
2bhk new ready to move flat in dwarka mor,"2Bhk Fully Ventilated Flat in Bhagwati Garden  Pay Only 20% rests on Loan. 2 Booked Car Parking 3. Walking distance from Metro Station. 4. Connected from Bus stop, cycle rickshaws and auto-rickshaws. 5. Fall ceiling and 3D Wallpaper in rooms. 6. Modular Kitchen with electronic Chimney. 7. Nearby From School, Hospital, and Market. 8. Road Facing Flat with Beautiful Balcony. 9. Brand new Ready to Move in Flat. 10. The Flat is close to Metro, Hospital, School, ATM, Gym, Local market           11. Ready to move flat in Dwarka more 12.Free hold Registery available",Delhi,Delhi,2 Bds - 2 Ba - 600 ft2,2021-12-15T09:10:06+0000,2300000
2 BHK FLAT AT CHEHEDI NAKA,"Encircled by trees and enveloped by greenery, HARI SIDDHI is indeed the pulse of purity. The constant flow of fresh air along with easy access of sunlight makes your home the abode of modern living. By realizing the power of your mind & soul, you will get the divine power of yourself & creation of your mind at HARI SIDDHI.",Maharashtra,Nashik,2 Bds - 2 Ba - 814 ft2,2021-12-11T07:43:55+0000,2954651
3bhk house in gated approved colony near isbt 70 lacs,Mdda approved colony near isbt Road front 30 ft Main approach road 40 ft Gated society Park  Swimming pool Gym Party hall Temple Loan facility Security,Uttaranchal,Dehradun,3 Bds - 4 Ba - 1900 ft2,2022-01-09T17:16:14+0000,7000000
2BHK FLAT NEAR AIRPORT ROAD,"2BHK FLAT  110GAJ 90% LOAN AVAILABLE 10% DOWN PAYMENT READY TO MOVE FULLY FURNISHED FLAT NEAR- SCHOOL, HOTEL MARKET, MALLS, HOSPITAL ETC.",Punjab,Kharar,2 Bds - 2 Ba - 1100 ft2,2022-01-09T17:16:14+0000,2690000
1BHK FLAT NEAR AIRPORT ROAD SECTOR 127 MOHALI,"1BHK FLAT NEAR AIRPORT ROAD READY TO MOVE GAITED SOCIETY 90% LOAN AVAILABLE 10% DOWN PAYMENT FAMILY ALREADY SHIFTED NEAR MARKET, SCHOOL, HOSPITAL AND MALLS",Punjab,Kharar,1 Bds - 1 Ba - 840 ft2,2022-01-09T17:16:14+0000,1780000
"2BHK FLAT ON HIGHWAY, WITH STORE, FURNISHED FLAT JUST 28LKH",1BHK STARTING  15.90LKH 2BHK STARTING  22.90LKH 3BHK STARTING  27.90LKH     24.90LKH  2BHK ON GOOD LOCATION SECTOR 127 MOHALI ON ROAD  Easily you can get rent 12k-14k of 2BHK *(100gaz) 10% only Down payment 90% LOAN   After PMAY get benefit 2.67 lac in principle,Punjab,Mohali,2 Bds - 2 Ba - 1080 ft2,2022-01-09T17:16:14+0000,2790000
2BHK FLAT NEAR AIRPORT ROAD JUST 22.90LKH,1BHK STARTING  15.90LKH 2BHK STARTING  22.90LKH 3BHK STARTING  27.90LKH     24.90LKH  2BHK ON GOOD LOCATION SECTOR 127 MOHALI ON ROAD  Easily you can get rent 12k-14k of 2BHK *(100gaz) 10% only Down payment 90% LOAN   After PMAY,Punjab,Kharar,2 Bds - 2 Ba - 880 ft2,2022-01-09T17:16:14+0000,2280000
2bhk flat on kharar landran Road,1BHK STARTING  15.90LKH 2BHK STARTING  22.90LKH 3BHK STARTING  27.90LKH     24.90LKH  2BHK ON GOOD LOCATION SECTOR 127 MOHALI ON ROAD  Easily you can get rent 12k-14k of 2BHK *(100gaz) 10% only Down payment 90% LOAN   After PMAY,Punjab,Kharar,2 Bds - 2 Ba - 1040 ft2,2022-01-09T17:16:14+0000,2590000
SHOP+ROOM AT VERY REASONABLE PRICE..!,AS BUILDERS INTRODUCING NEWLY CONSTRUCTED SHOP FOR SALE..! BANK FINANCE FACILITY AVAILABLE..!  CONTACT- 7_8_3_7_4 _8_0_0_0_4  1 KM FROM WADALA CHOWNK NAKODAR ROAD..!  PRICE 18  LAC  SHOP HIGHLIGHTS-  DIMENSIONS-10.5×25 1 BEDROOM 1 WASHROOM 1 KITCHEN  CALL FOR MORE INFORMATION- 7_8_3_7_4_ 8_0_0_0_4,Punjab,Jalandhar,1 Bds - 1 Ba - 524 ft2,2022-01-09T17:16:13+0000,1800000
2850 FLAT FOR SALE AT BELHEAVEN KOWDIAR,"2850 sqft 3 BHK attached 5 years old beautiful flat for sale at Bhel Heaven Gardens ,Kowdiar. A most expensive prime residential area in the Capital City. One car porch, expecting price 1.95  cr. slightly negotiable.Schools and hospitals are nearby .",Kerala,Thiruvananthapuram,3 Bds - 4 Ba - 2850 ft2,2022-01-09T17:16:13+0000,19500000
95 SQYARDS HOUSE VILLA AT VIDHANSABHA NAGAR DHABAS ROAD,NEAR VAISHALI NAGAR 3 BHK HOUSE AT VIDHANSABHA NAGAR DHABAS ROAD JDA APPROVED LOANABLE WITH THE FACILITIES AVAILABLE NEAR BY.  CONTACT US FOR FURTHER QUERY:-,Rajasthan,Jaipur,3 Bds - 3 Ba - 1750 ft2,2022-01-09T17:16:13+0000,5800000
IN Miyapur  biggest pree launched gated flats in very lowest price,"Dear property seeker, Greetings from urban rise ameenpur, Miyapur We are glad to announce the launch of our New project CODENAME : CENTRAL PARK-an elevated life style ,LIVE LARGE. A premium life style 2&3bhk apartments located in ameenpur,near Miyapur metro station.  Project highlights of code name CENTRAL PARK. 1)10.1 ACERS 2) 7 TOWERS 3) 2&3BHK 4) 12FLOORS 5)1254-1602 square feet unit sizes 6)Rs.58.92 lakhs onwards 7) choices large sundeck apartments 8) grand clubhouse 50,000 square feet with sporting amenities 9) more than 72% open space 10) exquisitely landscaped central court yard  11)10 minutes to Miyapur metro station 12)20 minutes to hitechCity 13)25 minutes to finacial district, Gachibowli APARTMENTS SIZES: 2BHK-1254,1417sq ft 3BHK-1376,1602 sq ft PRISE RANGE: 2BHK-RS.58.92 lakhs onwards 3BHK-RS.64.65 onwards",Telangana,Hyderabad,2 Bds - 2 Ba - 1254 ft2,2022-01-09T17:16:12+0000,5892000
Aluva ksrtc bus route  kunnuvazhi 8cent 2250Sqft,Kunnuvazhi Bus stop 100 Perumbavoor 5km 8cent 2250sqft 4bedroom with attached bathroom Good well water Price 85lakh Price negotiable Loan facilities available For more details call me,Kerala,Aluva,4 Bds - 4 Ba - 2250 ft2,2022-01-09T17:16:12+0000,8500000
Book 2Bhk & 3Bhk @ Manjri KHARADI Road (10 mins Drive to EON IT PARK),"Call for visit **One FIFTY plus Luxurious Township**  Lower Stamp duty & Property tax on Township homes Well connected to Kharadi IT park Biggest Carpet area Lower maintenance Better rental and capital appreciation on township homes Multiple professional sports coaching academies Bus stop, police station, hospital,  fire station within township",Maharashtra,Pune,2 Bds - 2 Ba - 1100 ft2,2022-01-09T17:16:12+0000,6800000
Well maintained 2bhk Flat with negotiable price in Uttam Nagar West,"2BHK flat at 18.5 Lacs on 20 Ft Road at Uttam Nagar, Delhi with Bike Parking 2 BHK Flat  2 Bedrooms 1 Bathrooms 1 Balcony 1 Drawing Hall 1 Modular kitchen 1 Bike parking Loan facility Intercom and automatic locking system Bank loan upto 90% PMAY Subsidy upto 3.5 lacs conditional Just 5 minutes from uttam nagar West metro station or just 800 to 900m  Other Flats are also available in Uttam Nagar 1RK – 6 Lacs to 8 Lacs 1BHK- 12 Lacs to 18 Lacs 2BHK- 17 Lacs to 25 Lacs 3BHK- 28 Lacs to 40 Lacs 4BHK- 44 Lacs to 60 Lacs",Delhi,Delhi,2 Bds - 1 Ba - 550 ft2,2022-01-09T17:16:12+0000,1850000
2 Room Set Very Prime Location Sector-127 Mohali,2BHK Furnished Flat In 19.70Lacs At Near Kharar Bus Stand Mohali  ∆ Cash Back Offers Available For Today Only...  Kharar to Chandigarh Highway Near Nijjar Road Near Airport Road  # 2.67Lacs Cash subsidy benefit  # 90% Loan Facility # 10% Down Payment       SPECIAL FEATURES  * Fall ceiling with LED lighting  * LED panel with lighting * Green Park * Gated Society * R.O + Chimney * High-speed Internet Access * WALLPAPER  * Safe Zone For Kids * Covered Parking  Contact For More Information,Punjab,Kharar,2 Bds - 2 Ba - 989 ft2,2022-01-09T17:16:12+0000,1970000
Affordable 2BHK In 19.80Lacs With Easy Finance At Mohali,2BHK On Road Property In 19.80LAcs With Up To 90% Loan At Kharar  # Rent=EMI # 2.67Lacs Subsidy Benefits  Facilities Available Are  # Double Bed # Modular Kitchen + Ro + Chimney # Gated Society # Under CCTV Cameras  Loan Facility Is Also Available Up to 90%  Contact Direct Builder,Punjab,Mohali,2 Bds - 2 Ba - 957 ft2,2022-01-09T17:16:12+0000,1980000
30*60=1800sqft House on 40ft cc Road,30*60=1800sqft House on 40ft cc Road Samridhi Nagar Call for visit,Rajasthan,Kota,3 Bds - 3 Ba - 1800 ft2,2021-12-13T03:58:37+0000,6500000
FARM HOUSE||GATEDCOMMUNITY||FORSALE||SRISAILAMHIGHWAY||PHARMA CITY||,"Get affordable price 2bhk farmhouse for sale at kandukur nearby Srisailam Highway road  Amenities: Sandalwood trees plantation Swimming pool with clubhouse Cricket pitch Volleyball and basketball court Banquet hall with car parking Water connection to each cottage Rainwater harvesting system BT Road Security guards 24/7 Gated community  Choose optimal construction package to build a beautiful cottage  1 bhk for 620 sft 2bhk for 1000 sft  A farm plot of you choice in sizes like 1/4acre, half acre, one or two acres as per your selection  @_Srisailamhighway @_pharmacity @_farmhouseforsale  #farmhouseforsale #kandukur #pulimamidi #PharmaCity #Amazoncentre #FabCity #tukkugudajunction #Srisailamhighwayroad",Telangana,Hyderabad,2 Bds - 2 Ba - 1060 ft2,2021-12-14T17:01:07+0000,6550000
House-at-Kottooli-East hill-Palakottuvayal-Vellimadukunnu-,(1) New 4 bedroom House at Kozhikode-Kottooli Area : 4.5 Cents Area : 1950 Sqft Price : 92 Lakhs  (2) New 5 bedroom House for sale at Kozhikode-East hill Area : 6.5 Cents Area : 2500 Sqft Price : 1 Crore 20 Lakhs   3) New 3 bedroom House for sale at Kozhikode-Palakottuvayal Area : 4 Cents Area : 1700 Sqft Price : 75 Lakhs  4) New 4 bedroom House for sale at Kozhikode-Vellimadukunnu Area : 6 Cents Area : 2000 Sqft Price: 62 Lakhs  5) New 3 bedroom House for sale at Kozhikode-Chelavoor Area : 5.3 Cents Area : 1700 Sqft Price : 70 Lakhs  (1) All prices are negotiable and for full finished condition  (2) We arrange Bank loans from all major banks at lowest rates  (3) For buying/selling/rent of all type of properties  (4 Or Visit our website WWW shalomreal com  (5) feel free to Contact on 0️⃣9️⃣4️⃣4️⃣6️⃣3️⃣3️⃣3️⃣#️⃣6️⃣6️⃣5️⃣,Kerala,Kozhikode,4 Bds - 4 Ba - 2000 ft2,2021-12-23T08:11:20+0000,9200000
Big Size 2BHK Fully Furnished In 23.90Lacs At Kharar Mohali,2BHK Flat For Sale 23.90 Lacs At Near 200ft. Road in Gated Society Mohali  * Ready To Move * Fully Furnished * Gated Society * CCTV Camera Protection  * NO COMPROMISE TO CONSTRUCTION QUALITY *  * Best Quality Used All Construction Material  # Loan 90% Facility # Down Payment 10% # Booking Amount 21000 # 2.67Lacs Cash Subsidy Benefit Pmay  Contact Direct Builder,Punjab,Mohali,2 Bds - 2 Ba - 987 ft2,2022-01-09T17:16:12+0000,2390000
"3BHK FLAT, READY TO MOVE FLAT, SEMI FURNISHED NEAR SECTOR 4 GURGAON,",TANISHQ BUILDERS DEVELOPERS READY TO MOVE FLAT  3BHK FLAT - 52 Lakh   JAGUAR FITTING ALMIRAH WIRING KEI MODULAR KITCHEN WITH CHIMNEY SEMI FURNISHED  LOAN AVAILABLE 80% REGISTRY APPROVED AREA COVERED CAR PARKING ROOF RIGHT SECURITY GUARD BOTH WATER SUPPLY,Haryana,Gurgaon,3 Bds - 3 Ba - 1200 ft2,2022-01-09T17:16:11+0000,5200000
3bhk flat~super location semi furnished flat & modular kitchen Gurgaon,TANISHQ BUILDERS DEVELOPERS READY TO MOVE FLAT  3BHK FLAT - 58 Lakh   LOAN AVAILABLE 80% REGISTRY APPROVED AREA COVERED CAR PARKING ROOF RIGHT SECURITY GUARD BOTH WATER SUPPLY,Haryana,Gurgaon,3 Bds - 2 Ba - 1200 ft2,2022-01-09T17:16:11+0000,5800000
